ccaa_iso;fecha;num_casos;casos_ac;num_casos_prueba_pcr;num_casos_prueba_test_ac;num_casos_prueba_otras;num_casos_prueba_desconocida
AN;2020-05-29;11;16429;11;0;0;0
AN;2020-05-30;16;16445;16;0;0;0
AN;2020-05-31;7;16452;7;0;0;0
AN;2020-06-01;8;16460;8;0;0;0
AN;2020-06-02;3;16463;3;0;0;0
AN;2020-06-03;11;16474;11;0;0;0
AN;2020-06-04;3;16477;3;0;0;0
AN;2020-06-05;4;16481;4;0;0;0
AN;2020-06-06;2;16483;2;0;0;0
AN;2020-06-07;3;16486;3;0;0;0
AN;2020-06-08;3;16489;3;0;0;0
AN;2020-06-09;4;16493;4;0;0;0
AN;2020-06-10;6;16499;6;0;0;0
AN;2020-06-11;3;16502;3;0;0;0
AN;2020-06-12;18;16520;18;0;0;0
AN;2020-06-13;7;16527;7;0;0;0
AN;2020-06-14;9;16536;9;0;0;0
AN;2020-06-15;5;16541;5;0;0;0
AN;2020-06-16;9;16550;9;0;0;0
AN;2020-06-17;13;16563;13;0;0;0
AN;2020-06-18;89;16652;89;0;0;0
AN;2020-06-19;16;16668;16;0;0;0
AN;2020-06-20;20;16688;20;0;0;0
AN;2020-06-21;18;16706;18;0;0;0
AN;2020-06-22;32;16738;32;0;0;0
AN;2020-06-23;16;16754;16;0;0;0
AN;2020-06-24;28;16782;28;0;0;0
AN;2020-06-25;17;16799;17;0;0;0
AN;2020-06-26;10;16809;10;0;0;0
AN;2020-06-27;14;16823;14;0;0;0
AN;2020-06-28;15;16838;15;0;0;0
AN;2020-06-29;19;16857;19;0;0;0
AN;2020-06-30;11;16868;11;0;0;0
AN;2020-07-01;8;16876;8;0;0;0
AN;2020-07-02;8;16884;8;0;0;0
AN;2020-07-03;3;16887;3;0;0;0
AN;2020-07-04;2;16889;2;0;0;0
AN;2020-07-05;0;16889;0;0;0;0
AR;2020-01-31;0;0;0;0;0;0
AR;2020-02-01;0;0;0;0;0;0
AR;2020-02-02;0;0;0;0;0;0
AR;2020-02-03;0;0;0;0;0;0
AR;2020-02-04;0;0;0;0;0;0
AR;2020-02-05;0;0;0;0;0;0
AR;2020-02-06;1;1;1;0;0;0
AR;2020-02-07;0;1;0;0;0;0
AR;2020-02-08;0;1;0;0;0;0
AR;2020-02-09;0;1;0;0;0;0
AR;2020-02-10;0;1;0;0;0;0
AR;2020-02-11;1;2;1;0;0;0
AR;2020-02-12;0;2;0;0;0;0
AR;2020-02-13;1;3;1;0;0;0
AR;2020-02-14;0;3;0;0;0;0
AR;2020-02-15;0;3;0;0;0;0
AR;2020-02-16;1;4;1;0;0;0
AR;2020-02-17;1;5;1;0;0;0
AR;2020-02-18;1;6;1;0;0;0
AR;2020-02-19;0;6;0;0;0;0
AR;2020-02-20;0;6;0;0;0;0
AR;2020-02-21;2;8;2;0;0;0
AR;2020-02-22;3;11;3;0;0;0
AR;2020-02-23;1;12;1;0;0;0
AR;2020-02-24;1;13;1;0;0;0
AR;2020-02-25;2;15;2;0;0;0
AR;2020-02-26;2;17;2;0;0;0
AR;2020-02-27;0;17;0;0;0;0
AR;2020-02-28;4;21;4;0;0;0
AR;2020-02-29;6;27;6;0;0;0
AR;2020-03-01;8;35;8;0;0;0
AR;2020-03-02;14;49;14;0;0;0
AR;2020-03-03;7;56;7;0;0;0
AR;2020-03-04;14;70;14;0;0;0
AR;2020-03-05;10;80;10;0;0;0
AR;2020-03-06;15;95;15;0;0;0
AR;2020-03-07;21;116;21;0;0;0
AR;2020-03-08;36;152;35;0;0;1
AR;2020-03-09;36;188;36;0;0;0
AR;2020-03-10;52;240;52;0;0;0
AR;2020-03-11;66;306;66;0;0;0
AR;2020-03-12;79;385;79;0;0;0
AR;2020-03-13;114;499;113;0;0;1
AR;2020-03-14;107;606;107;0;0;0
AR;2020-03-15;127;733;127;0;0;0
AR;2020-03-16;166;899;166;0;0;0
AR;2020-03-17;157;1056;156;0;1;0
AR;2020-03-18;167;1223;167;0;0;0
AR;2020-03-19;166;1389;166;0;0;0
AR;2020-03-20;236;1625;236;0;0;0
AR;2020-03-21;177;1802;177;0;0;0
AR;2020-03-22;166;1968;166;0;0;0
AR;2020-03-23;268;2236;267;0;0;1
AR;2020-03-24;191;2427;191;0;0;0
AR;2020-03-25;189;2616;187;0;0;2
AR;2020-03-26;166;2782;166;0;0;0
AR;2020-03-27;212;2994;211;0;0;1
AR;2020-03-28;146;3140;146;0;0;0
AR;2020-03-29;137;3277;137;0;0;0
AR;2020-03-30;127;3404;127;0;0;0
AR;2020-03-31;116;3520;116;0;0;0
AR;2020-04-01;157;3677;156;0;0;1
AR;2020-04-02;127;3804;127;0;0;0
AR;2020-04-03;109;3913;109;0;0;0
AR;2020-04-04;94;4007;93;0;0;1
AR;2020-04-05;95;4102;94;0;1;0
AR;2020-04-06;124;4226;124;0;0;0
AR;2020-04-07;108;4334;107;0;0;1
AR;2020-04-08;110;4444;109;0;0;1
AR;2020-04-09;101;4545;88;0;0;13
AR;2020-04-10;84;4629;75;0;0;9
AR;2020-04-11;64;4693;58;0;0;6
AR;2020-04-12;54;4747;51;0;0;3
AR;2020-04-13;83;4830;71;0;0;12
AR;2020-04-14;53;4883;45;0;0;8
AR;2020-04-15;76;4959;61;0;0;15
AR;2020-04-16;63;5022;55;0;0;8
AR;2020-04-17;71;5093;55;0;0;16
AR;2020-04-18;57;5150;55;0;0;2
AR;2020-04-19;43;5193;34;0;0;9
AR;2020-04-20;49;5242;34;0;0;15
AR;2020-04-21;132;5374;36;0;0;96
AR;2020-04-22;101;5475;58;0;0;43
AR;2020-04-23;28;5503;22;0;0;6
AR;2020-04-24;25;5528;20;0;1;4
AR;2020-04-25;33;5561;19;0;0;14
AR;2020-04-26;21;5582;16;0;0;5
AR;2020-04-27;64;5646;23;0;0;41
