"","longitude","latitude","username","total_oc"
"170",12.5,41.9,"Manu/Holu",10
"171",12.5,41.9,"Stefano Santucci",10
"172",12.4897404,41.8947906,"Pasta Chef Roma",10
"173",12.5,41.9,"Monica Palermo",10
"174",12.5,41.9,"MalikaMancia",10
"175",12.46012,41.87307,"VeryYeah",10
"176",12.454032,41.902273,"Miikelangelo",10
"177",12.43886,41.8923,"Directa SIM",10
"178",12.44378997,41.97579003,"SuXGio",10
"179",12.5,41.9,"Jose E. Velez-Silva",10
"180",12.49244213,41.89023406,"Michael Whitaker Jr.",10
"181",12.454032,41.902273,"vincenzo circosta",10
"182",12.5,41.9,"John Szabo",10
"183",12.48214,41.90833,"silvia dem",10
"184",12.5,41.9,"Marco Tank Stabile",9
"185",12.5,41.9,"BOWLDI® Inc.",9
"186",12.5005586,41.9039739,"Mag Hotels",9
"187",12.5,41.9,"Soggetto da EVITARE",9
"188",12.48256254,41.89318644,"jaime puerta",9
"189",12.5,41.9,"Rochelle Cheever",9
"190",12.5,41.9,"Mario Paradiso Jr",9
"191",12.49244213,41.89023406,"PAKO HERRERA",9
"192",12.47021,41.89706,"Dana Roma",9
"193",12.5103,41.8845,"Darryll Wilson",9
"194",12.5,41.9,"Gabriel.toString()",9
"195",12.43171,41.87673,"Drink Apparition",9
"196",12.50119877,41.89109421,"Fanny",9
"197",12.502867,41.8896863,"Giampiero Abate",9
"198",12.5047599,41.89211,"feryal tabash",9
"199",12.5,41.9,"Paulita Molinari",9
"200",12.48256254,41.89318644,"vincenzo circosta",9
"201",12.5,41.9,"Jim Morinigo",9
"202",12.5,41.9,"Mina Cappussi",9
"203",12.4745488,41.929705,"BrandAtelierCohen",9
"204",12.4989301,41.8909599,"Mina Cappussi",9
"205",12.49027778,41.90361111,"Rory Lewis",8
"206",12.498022,41.917195,"Violetta",8
"207",12.49244213,41.89023406,"Capitan Vergarfio",8
"208",12.5,41.9,"Chiara Di Simplicio",8
"209",12.5889405,41.8494622,"Giada",8
"210",12.4570796,41.8680886,"Enrico Pallocca Blog",8
"211",12.5,41.9,"Bruno A. Porcellana",8
"212",12.5,41.9,"Elena Cucchiara",8
"213",12.5271555,41.86931138,"Opificio InMovimento",8
"214",12.5,41.9,"Luifa Galesio ✋🐺",8
"215",12.5,41.9,"Marilina Lomuscio",8
"216",12.43495,41.80547,"Riccardo A. Ronconi",8
"217",12.4409352,41.7814695,"Antony",8
"218",12.5,41.9,"Wakko El Kuntur",8
"219",12.46693866,41.92867638,"William Nessuno",8
"220",12.47477,41.90832,"luca bartorelli",8
"221",12.50743,41.87531,"Jun ichikawa",8
"222",12.5285499,41.93612,"DottcomicsMissmanga",8
"223",12.53652,41.8699112,"Synergydentalsrl",8
"224",12.5640893,41.90638136,"Marco Tank Stabile",8
"225",12.5,41.9,"Damien O'Farrell",8
"226",12.52057685,41.8754645,"Francesca Piccioni",8
"227",12.46991609,41.83523777," MrTozzo ",8
"228",12.45685,41.93312,"DUNDAR  KESAPLI",8
"229",12.46411,41.9158,"Giampaolo Trombetti",8
"230",12.50870093,41.88669041,"Christian",8
"231",12.5,41.9,"Valerio Di Marco",8
"232",12.4888131,41.9090216,"Giampaolo Trombetti",8
"233",12.5,41.9,"Diógenes Dantas",8
"234",12.50483,41.92254,"d0/\/\3/\/!C0_b4RRA",8
"235",12.454032,41.902273,"Karo´s Photodiary",8
"236",12.45444444,41.90638889,"Лариса Хомченко",8
"237",12.45790476,41.90264382,"Tony's Pizzeria",8
"238",12.456774,41.90244958,"Tony's Pizzeria",8
"239",12.45444444,41.90305556,"Tony's Pizzeria",8
"240",12.46686981,41.89996488,"Meraj Chhaya",7
"241",12.5,41.9,"Luxury Rome",7
"242",12.5,41.9,"Paolo Imperatori",7
"243",12.49106238,41.92411564,"roberto onofri",7
"244",12.4705861,41.834026,"Riccardo Del Zio",7
"245",12.5509996,41.7737198,"Rob 🐺",7
"246",12.5,41.9,"ozzo sans",7
"247",12.5,41.9,"Gianluca Melillo",7
"248",12.5,41.9,"luca gramiccia",7
"249",12.5,41.9,"Emmanuele Di Leo",7
"250",12.5,41.9,"Alefisioroma",7
"251",12.44684343,41.91884874,"Lucia Hwong Gordon",7
"252",12.5101099,41.8796,"Olio Flaminio",7
"253",12.4566182,41.9088679,"BurgerJointIt",7
"254",12.52027215,41.95302259,"Officine Zero",7
"255",12.5,41.9,"claudiofurini",7
"256",12.45996561,41.83342423,"Fabio 🌋",7
"257",12.5,41.9,"Jutta A. Mele-Maurer",7
"258",12.4175541,41.8949572,"Smooth Hotels",7
"259",12.48999,41.9084,"GHVVRoma",7
"260",12.5,41.9,"Daniele Pace",7
"261",12.5,41.9,"Riccardo",7
"262",12.46863102,41.8650454,"eleonora marsella",7
"263",12.48237853,41.89579432,"Jörg",7
"264",12.4651732,41.893935,"Grano&Farina",7
"265",12.50053,41.9105,"Enoteca GustoDivino",7
"266",12.4656,41.8989792,"MYZAR Concept Store",7
"267",12.49244213,41.89023406,"Oscar Cabrera",7
"268",12.49244213,41.89023406,"Sam Tambago",7
"269",12.5,41.9,"fiodor passeo",7
"270",12.4191103,41.9036598,"IlGhiottone",7
"271",12.466,41.836,"Andrea Fatica",7
"272",12.46909618,41.83666799,"LOSFUSO",7
"273",12.5,41.9,"Diletta Orlandi",7
"274",12.49244213,41.89023406,"Greg Miller, Ph.D.",7
"275",12.5,41.9,"VIC.O🇳🇬",7
"276",12.5,41.9,"Lorenza Veronica",7
"277",12.55559,41.91538,"Debora M Nαsrεεn™ 🐍",7
"278",12.4409576,41.7815054,"Antony",7
"279",12.46686981,41.89996488,"Alex_not",7
"280",12.5,41.9,"Giovanni Romano",7
"281",12.3762229,41.8649839,"WeSoccer",7
"282",12.49244213,41.89023406,"Mina Cappussi",7
"283",12.5,41.9,"Ryan Smith",7
"284",12.47576674,41.83830438,"Massimiliano Nico",7
"285",12.5,41.9,"Louis Barbosa®",7
"286",12.482636,41.9004628,"CEGX",7
"287",12.46176,41.90473,"Karo´s Photodiary",7
"288",12.4407554,41.9656347,"Asilo Nido MeAgape",7
"289",12.47469,41.8238,"Cristiano Greco",7
"290",12.50814516,41.88098671,"RGB Light Experience",7
"291",12.5,41.9,"Carlos Rendón",7
"292",12.5,41.9,"Nubia Alonso",7
"293",12.45409805,41.90704631,"Tony's Pizzeria",7
"294",12.5,41.9,"Tony's Pizzeria",7
"295",12.5,41.9,"Laura PiszczorRomano",7
"296",12.46869104,41.89055267,"Nubia Alonso",7
"297",12.454032,41.902273,"Sophie",7
"298",12.49306944,41.89387222,"Mina Cappussi",7
"299",12.49599,41.86644,"Roby Rossini",7
"300",12.4901023,41.9067608,"まゆぴょん@祝！ドロス大阪♡",6
"301",12.5,41.9,"HDCUTZUK",6
"302",12.5,41.9,"Paola Guerra",6
"303",12.41221672,41.9773331,"Epica Music Center",6
"304",12.4980131,41.9171997,"Violetta",6
"305",12.5,41.9,"Jamie Jeejung Kang♬",6
"306",12.5,41.9,"robertide",6
"307",12.5,41.9,"klaire 🌸",6
"308",12.5,41.9,"Fabian Hirose",6
"309",12.5932481,41.8672771,"Alex Majoketti evos",6
"310",12.53081287,41.8665591,"Patrizia Pellegrino",6
"311",12.47655,41.8828343,"Olio Flaminio",6
"312",12.53211841,41.94150988,"Daniela Delogu",6
"313",12.5,41.9,"Roby Rossini",6
"314",12.62442,41.86495,"MV Special K",6
"315",12.5,41.9,"Mary Tabares🇨🇴🇪🇸",6
"316",12.5,41.9,"Francesconappoph",6
"317",12.5,41.9,"Artpassions magazine",6
"318",12.5,41.9,"Alexandra",6
"319",12.49970145,41.90172866,"Jörg",6
"320",12.49874033,41.91616721,"Pentole Agnelli Roma",6
"321",12.47049713,41.88473511,"Jörg",6
"322",12.43569542,41.92043537,"Annabelle Bronstein",6
"323",12.49528809,41.88381553,"Roma Streaming",6
"324",12.52077,41.9115,"ilgiardinofiorito",6
"325",12.5,41.9,"d0/\/\3/\/!C0_b4RRA",6
"326",12.5,41.9,"THE KEY OF SUCCESS",6
"327",12.55183,41.94444,"Athlon Roma",6
"328",12.45711416,41.82970828,"Fabio 🌋",6
"329",12.50814516,41.88098671,"sonia scottoni",6
"330",12.5,41.9,"Johannes Beilharz",6
"331",12.5,41.9,"Black G",6
"332",12.50814516,41.88098671,"Luca Pintavalle",6
"333",12.5,41.9,"Roberta Pedrelli",6
"334",12.50911,41.92808,"Luca Materazzi Chef",6
"335",12.5,41.9,"QdeAhuevo",6
"336",12.53083,41.87404,"milena miconi",6
"337",12.5,41.9,"Rupens Mrg",6
"338",12.5,41.9,"Beauty Blogette",6
"339",12.47483614,41.89303129,"Jörg",6
"340",12.5,41.9,"Maria Centi",6
"341",12.59646521,41.86622122,"Paul Wiggins",6
"342",12.49821,41.89401,"Lucia Hwong Gordon",6
"343",12.5,41.9,"Marco Bianchi",6
"344",12.46686981,41.89996488,"April del Rosario",6
"345",12.4965604,41.90125622,"AndreaBracagliaPH",6
"346",12.43104,41.89858,"William Vittori",6
"347",12.5,41.9,"angelica 🌟",6
"348",12.43645755,41.89152476,"Jorge Rivas Acosta",6
"349",12.5,41.9,"LauralbaFDesigner",6
"350",12.5,41.9,"Mara Lamagna",6
"351",12.5,41.9,"ArchiFacturing",6
"352",12.49444,41.88896,"d0/\/\3/\/!C0_b4RRA",6
"353",12.5,41.9,"ninnisenzafreni",6
"354",12.47656831,41.87556839,"Dj Chama",6
"355",12.43692937,41.89939246,"Rush Bellucci",6
"356",12.5,41.9,"feltonino cuoricino.",6
"357",12.5,41.9,"Fuzz Caminski",6
"358",12.48537,41.87102,"Ramonaincucina.com",6
"359",12.5,41.9,"Luciana Gimenez",6
"360",12.5,41.9,"Vladimir Perić",6
"361",12.3913548,41.9083871,"SELLIX Official",6
"362",12.550807,41.906206,"☮ Dave Loruxury ☮",6
"363",12.5,41.9,"Cinzia Scaglione",6
"364",12.5,41.9,"Il Pastarito",6
"365",12.5,41.9,"Rebecca Jongkees",6
"366",12.48264,41.8934799,"Tony Venios",6
"367",12.5,41.9,"Giulia Latini",6
"368",12.45790476,41.90264382,"Catholic News Svc",6
"369",12.5,41.9,"Alejandro Ovalle",6
"370",12.5,41.9,"filippo",6
"371",12.48205833,41.90595,"eleonora marsella",6
"372",12.4779797,41.9010887,"Io Giornalista Tv",6
"373",12.43645755,41.89152476,"Sergey Spiridonov",6
"374",12.5,41.9,"Come Calamity",6
"375",12.5,41.9,"JOSE DAVID BARRAGÁN",6
"376",12.50000664,41.90493939,"BasílicaLaMilagrosa",6
"377",12.46686981,41.89996488,"Diógenes Dantas",6
"378",12.5,41.9,"Acid Queen",6
"379",12.4825,41.89639,"Лариса Хомченко",6
"380",12.50855,41.88288,"©Margherita Briganti",6
"381",12.50747,41.8885,"Vale Look",6
"382",12.4714603,41.8860207,"🥀",6
"383",12.47574597,41.89690864,"Alessandra Bava",6
"384",12.47305556,41.89888889,"Nubia Alonso",6
"385",12.52384543,41.87628755,"moOde Stickers",6
"386",12.45790476,41.90264382,"mcmack™",6
"387",12.49027778,41.90361111,"Marcela Atienza",6
"388",12.49905724,41.89983652,"Michael Whitaker Jr.",6
"389",12.48433113,41.88988263,"Roma Streaming",6
"390",12.49027778,41.90361111,"Giuseppe Gambino",6
"391",12.4745518,41.89390389,"Fabian Hirose",6
"392",12.454032,41.902273,"Tony's Pizzeria",6
"393",12.47681535,41.89921809,"Meraj Chhaya",6
"394",12.4775,41.8924,"Nubia Alonso",6
"395",12.46686981,41.89996488,"Tony's Pizzeria",6
"396",12.5,41.9,"AL.MA. Security srl",6
"397",12.47681535,41.89921809,"Nubia Alonso",6
"398",12.482636,41.9004628,"Tony's Pizzeria",6
"399",12.49244213,41.89023406,"Marcos",6
"400",12.49244213,41.89023406,"La Storia Siamo Noi",6
"401",12.5251757,41.8840501,"fabienne pallamidess",6
"402",12.47978617,41.85123102,"Gustolab Institute",6
"403",12.5,41.9,"BFE",6
"404",12.5,41.9,"John Harvey",6
"405",12.51097,41.89746,"isabel de lorenzo",5
"406",12.56794264,41.915316,"Stefano",5
"407",12.5,41.9,"Man Eating Seas",5
"408",12.36283906,41.86965647,"Davide Mascoli",5
"409",12.5,41.9,"katerina evagelinou",5
"410",12.48305556,41.89458333,"Capitan Vergarfio",5
"411",12.53912375,41.92622123,"Mattia Duranti",5
"412",12.5,41.9,"John Cravatta",5
"413",12.5,41.9,"Dante Paolo Ferraris",5
"414",12.46527762,41.87338738,"Jörg",5
"415",12.5,41.9,"Andrea Riscassi",5
"416",12.5,41.9,"Alfredo Scardino",5
"417",12.5,41.9,"Jenna Pizzigati",5
"418",12.5,41.9,"Anna Di Risio",5
"419",12.5,41.9,"D.S. Johnson",5
"420",12.5,41.9,"Giorgio Gibertini",5
"421",12.5,41.9,"post.it",5
"422",12.5,41.9,"Persona di successo®",5
"423",12.50114,41.90738,"Smooth Hotels",5
"424",12.46686981,41.89996488,"Sam Tambago",5
"425",12.4553528,41.8740102,"5forecastore",5
"426",12.4895099,41.89969,"Olio Flaminio",5
"427",12.5,41.9,"Enrico Pallocca Blog",5
"428",12.5,41.9,"Sos & Victoria",5
"429",12.5162264,41.8944348,"YagaYaga SoundSystem",5
"430",12.49599,41.86644,"Simone Girasole",5
"431",12.5,41.9,"Arturo Jkay Arturi",5
"432",12.5,41.9,"Justine Léaux",5
"433",12.5261,41.8723699,"Dea Suite Roma",5
"434",12.5,41.9,"Raffaello Padelletti",5
"435",12.5,41.9,"jeffm8",5
"436",12.466,41.836,"Max i😎",5
"437",12.50353121,41.89869583,"つねを (Tsuneo)",5
"438",12.46929,41.93052,"FederPugilistica",5
"439",12.5,41.9,"Maniel Galvez",5
"440",12.51546192,41.95065308,"Terra dei Piccoli",5
"441",12.5,41.9,"Markus PHOTO/MUA/SFX",5
"442",12.5,41.9,"Luca Pintavalle",5
"443",12.48601109,41.90068661,"mcmack™",5
"444",12.5483,41.8638,"Gilraen Minyatur",5
"445",12.48413,41.85155,"Marcos Roma",5
"446",12.65951138,41.90560367,"W",5
"447",12.48117462,41.89450448,"Jörg",5
"448",12.46623368,41.90215729,"PAKO HERRERA",5
"449",12.47514,41.88821,"Pavart",5
"450",12.45242,41.89743,"Vicky Zagarra",5
"451",12.5,41.9,"مُهند",5
"452",12.44359374,41.86830648,"Nuvole d'Aromi Store",5
"453",12.57561208,41.85044835,"Serena Manfredini",5
"454",12.5162264,41.8944348,"MilitantDandy",5
"455",12.47029,41.89801,"Bead Shop Rome ® Ran",5
"456",12.504101,41.89419551,"David Di Pietro",5
"457",12.49158426,41.89082967,"Meraj Chhaya",5
"458",12.45145687,41.93832039,"Ramonaincucina.com",5
"459",12.50356,41.91174,"La Portineria",5
"460",12.5,41.9,"SELLIX Official",5
"461",12.5,41.9,"Steno",5
"462",12.4674024,41.8979978,"Matteo Zappile",5
"463",12.46893,41.92335,"Mr.X Gruppo YMC5",5
"464",12.46741301,41.74767606,"MCDR Management",5
"465",12.49158426,41.89082967,"Andrea Capoferri",5
"466",12.5157314,41.894545,"DanceDeets",5
"467",12.5,41.9,"#InArteZizì",5
"468",12.48969,41.91192,"OSWALDO TIM BETA",5
"469",12.50108957,41.90130283,"Jörg",5
"470",12.51105833,41.85887778,"Cri Braganò",5
"471",12.5,41.9,"Miss Devin",5
"472",12.5,41.9,"Jacopo Cavallaro",5
"473",12.47055556,41.86,"eleonora marsella",5
"474",12.5,41.9,"Armando Ribeiro",5
"475",12.45145687,41.93832039,"FoodConfidential",5
"476",12.5,41.9,"Francesca Licandro",5
"477",12.5,41.9,"Tim Grey",5
"478",12.43806,41.9169,"Roma Computer Center",5
